timestamp_unix;;timestamp_iso;;pulse_rate_bpm;eda_scl_usiemens;event;label 
1,76857E+12;;2026-01-16T14:37:00Z;;64;0.03;;stress
1,76857E+12;;2026-01-16T14:38:00Z;;79;0.04;;stress
1,76857E+12;;2026-01-16T14:39:00Z;;79;0.05;;stress
1,76857E+12;;2026-01-16T14:40:00Z;;82;0.06;;stress
1,76857E+12;;2026-01-16T14:41:00Z;;77;0.06;;stress
1,76857E+12;;2026-01-16T14:42:00Z;;90;0.07;;stress
1,76857E+12;;2026-01-16T14:43:00Z;;80;0.07;;stress
1,76857E+12;;2026-01-16T14:44:00Z;;79;0.08;;stress
1,76857E+12;;2026-01-16T14:45:00Z;;77;0.09;;stress
1,76857E+12;;2026-01-16T14:46:00Z;;78;0.09;;stress
1,76857E+12;;2026-01-16T14:47:00Z;;76;0.09;;stress
1,76857E+12;;2026-01-16T14:48:00Z;;88;0.1;;stress
1,76857E+12;;2026-01-16T14:49:00Z;;76;0.1;;stress
1,76858E+12;;2026-01-16T14:50:00Z;;77;0.11;;stress
1,76858E+12;;2026-01-16T14:51:00Z;;79;0.11;;stress
1,76858E+12;;2026-01-16T14:52:00Z;;83;0.12;;stress
1,76858E+12;;2026-01-16T14:53:00Z;;81;0.12;;stress
1,76858E+12;;2026-01-16T14:54:00Z;;83;0.13;;stress
1,76858E+12;;2026-01-16T14:55:00Z;;80;0.13;;stress
1,76858E+12;;2026-01-16T14:56:00Z;;82;0.14;;stress
1,76858E+12;;2026-01-16T14:57:00Z;;81;0.14;;stress
1,76858E+12;;2026-01-16T14:58:00Z;;79;0.14;;stress
1,76858E+12;;2026-01-16T14:59:00Z;;77;0.15;;stress
1,76858E+12;;2026-01-16T15:00:00Z;;78;0.15;;stress
1,76858E+12;;2026-01-16T15:01:00Z;;84;0.16;;stress
1,76858E+12;;2026-01-16T15:02:00Z;;83;0.16;;stress
1,76858E+12;;2026-01-16T15:03:00Z;;80;0.16;;stress
1,76858E+12;;2026-01-16T15:04:00Z;;77;0.17;;stress
1,76858E+12;;2026-01-16T15:05:00Z;;89;0.17;;stress
1,76858E+12;;2026-01-16T15:06:00Z;;103;0.18;;stress
1,76858E+12;;2026-01-16T15:07:00Z;;96;0.19;;stress
1,76858E+12;;2026-01-16T15:08:00Z;;88;0.2;;stress
1,76858E+12;;2026-01-16T15:09:00Z;;85;0.23;;stress
1,76858E+12;;2026-01-16T15:10:00Z;;83;0.29;;stress
1,76858E+12;;2026-01-16T15:11:00Z;;82;0.34;;stress
1,76858E+12;;2026-01-16T15:12:00Z;;83;0.33;;stress
1,76858E+12;;2026-01-16T15:13:00Z;;84;0.33;;stress
1,76858E+12;;2026-01-16T15:14:00Z;;81;0.41;;stress
1,76858E+12;;2026-01-16T15:15:00Z;;85;0.44;;stress
1,76858E+12;;2026-01-16T15:16:00Z;;83;0.51;;stress
1,76858E+12;;2026-01-16T15:17:00Z;;73;0.62;;stress
1,76858E+12;;2026-01-16T15:18:00Z;;72;0.57;;stress
1,76858E+12;;2026-01-16T15:19:00Z;;77;0.5;;stress
1,76858E+12;;2026-01-16T15:20:00Z;;78;0.47;;stress
1,76858E+12;;2026-01-16T15:21:00Z;;76;0.44;1;stress
1,76858E+12;;2026-01-16T15:22:00Z;;77;0.42;;stress
1,76858E+12;;2026-01-16T15:23:00Z;;77;0.41;;stress
1,76858E+12;;2026-01-16T15:24:00Z;;76;0.39;;stress
1,76858E+12;;2026-01-16T15:25:00Z;;81;0.38;;stress
1,76858E+12;;2026-01-16T15:26:00Z;;78;0.37;;stress
1,76858E+12;;2026-01-16T15:27:00Z;;78;0.37;;stress
1,76858E+12;;2026-01-16T15:28:00Z;;77;0.37;1;stress
1,76858E+12;;2026-01-16T15:29:00Z;;82;0.37;1;stress
1,76858E+12;;2026-01-16T15:30:00Z;;76;0.36;;stress
1,76858E+12;;2026-01-16T15:31:00Z;;74;0.36;;stress
1,76858E+12;;2026-01-16T15:32:00Z;;81;0.35;;stress
1,76858E+12;;2026-01-16T15:33:00Z;;75;0.34;1;neutre 
1,76858E+12;;2026-01-16T15:34:00Z;;87;0.34;;neutre 
1,76858E+12;;2026-01-16T15:35:00Z;;98;0.34;;neutre 
1,76858E+12;;2026-01-16T15:36:00Z;;90;0.35;;neutre 
1,76858E+12;;2026-01-16T15:37:00Z;;75;0.35;;neutre 
1,76858E+12;;2026-01-16T15:38:00Z;;71;0.35;;neutre 
1,76858E+12;;2026-01-16T15:39:00Z;;78;0.35;;neutre 
1,76858E+12;;2026-01-16T15:40:00Z;;80;0.35;;neutre 
1,76858E+12;;2026-01-16T15:41:00Z;;76;0.35;;neutre 
1,76858E+12;;2026-01-16T15:42:00Z;;76;0.36;;neutre 
1,76858E+12;;2026-01-16T15:43:00Z;;75;0.36;;neutre 
1,76858E+12;;2026-01-16T15:44:00Z;;76;0.36;;neutre 
1,76858E+12;;2026-01-16T15:45:00Z;;77;0.36;;neutre 
1,76858E+12;;2026-01-16T15:46:00Z;;77;0.36;;neutre 
